DateTime;ticker;last_price
2025-03-19 19:45:27;RIM5;121260
2025-03-19 19:45:27;SiM5;88609
2025-03-19 19:45:27;CRM5;12.129
2025-03-19 19:45:27;GZM5;17907
2025-03-19 19:45:27;SRM5;34380
2025-03-19 19:46:30;RIM5;121250
2025-03-19 19:46:30;SiM5;88606
2025-03-19 19:46:30;CRM5;12.13
2025-03-19 19:46:30;GZM5;17906
2025-03-19 19:46:30;SRM5;34369
2025-03-19 19:47:32;RIM5;121210
2025-03-19 19:47:32;SiM5;88591
2025-03-19 19:47:32;CRM5;12.128
2025-03-19 19:47:32;GZM5;17885
2025-03-19 19:47:32;SRM5;34374
2025-03-19 19:48:35;RIM5;121130
2025-03-19 19:48:35;SiM5;88601
2025-03-19 19:48:35;CRM5;12.129
2025-03-19 19:48:35;GZM5;17881
2025-03-19 19:48:35;SRM5;34349
2025-03-19 19:49:37;RIM5;121100
2025-03-19 19:49:37;SiM5;88621
2025-03-19 19:49:37;CRM5;12.133
2025-03-19 19:49:37;GZM5;17873
2025-03-19 19:49:37;SRM5;34345
2025-03-19 19:50:40;RIM5;121090
2025-03-19 19:50:40;SiM5;88588
2025-03-19 19:50:40;CRM5;12.129
2025-03-19 19:50:40;GZM5;17871
2025-03-19 19:50:40;SRM5;34335
2025-03-19 19:51:43;RIM5;121140
2025-03-19 19:51:43;SiM5;88629
2025-03-19 19:51:43;CRM5;12.132
2025-03-19 19:51:43;GZM5;17883
2025-03-19 19:51:43;SRM5;34361
2025-03-19 19:52:46;RIM5;121150
2025-03-19 19:52:46;SiM5;88620
2025-03-19 19:52:46;CRM5;12.127
2025-03-19 19:52:46;GZM5;17881
2025-03-19 19:52:46;SRM5;34359
2025-03-19 19:53:49;RIM5;121020
2025-03-19 19:53:49;SiM5;88641
2025-03-19 19:53:49;CRM5;12.129
2025-03-19 19:53:49;GZM5;17881
2025-03-19 19:53:49;SRM5;34359
2025-03-19 19:54:51;RIM5;121020
2025-03-19 19:54:51;SiM5;88654
2025-03-19 19:54:51;CRM5;12.125
2025-03-19 19:54:51;GZM5;17871
2025-03-19 19:54:51;SRM5;34359
2025-03-19 19:55:54;RIM5;121050
2025-03-19 19:55:54;SiM5;88643
2025-03-19 19:55:54;CRM5;12.128
2025-03-19 19:55:54;GZM5;17868
2025-03-19 19:55:54;SRM5;34358
2025-03-19 19:56:56;RIM5;121020
2025-03-19 19:56:56;SiM5;88620
2025-03-19 19:56:56;CRM5;12.133
2025-03-19 19:56:56;GZM5;17865
2025-03-19 19:56:56;SRM5;34355
2025-03-19 19:57:59;RIM5;121040
2025-03-19 19:57:59;SiM5;88621
2025-03-19 19:57:59;CRM5;12.132
2025-03-19 19:57:59;GZM5;17865
2025-03-19 19:57:59;SRM5;34354
2025-03-19 19:59:01;RIM5;121040
2025-03-19 19:59:01;SiM5;88623
2025-03-19 19:59:01;CRM5;12.132
2025-03-19 19:59:01;GZM5;17872
2025-03-19 19:59:01;SRM5;34354
2025-03-19 20:00:04;RIM5;121050
2025-03-19 20:00:04;SiM5;88631
2025-03-19 20:00:04;CRM5;12.129
2025-03-19 20:00:04;GZM5;17872
2025-03-19 20:00:04;SRM5;34345
2025-03-19 20:01:06;RIM5;121040
2025-03-19 20:01:06;SiM5;88623
2025-03-19 20:01:06;CRM5;12.122
2025-03-19 20:01:06;GZM5;17875
2025-03-19 20:01:06;SRM5;34359
2025-03-19 20:02:11;RIM5;121150
2025-03-19 20:02:11;SiM5;88633
2025-03-19 20:02:11;CRM5;12.124
2025-03-19 20:02:11;GZM5;17891
2025-03-19 20:02:11;SRM5;34358
2025-03-19 20:03:13;RIM5;121250
2025-03-19 20:03:13;SiM5;88581
2025-03-19 20:03:13;CRM5;12.12
2025-03-19 20:03:13;GZM5;17893
2025-03-19 20:03:13;SRM5;34361
2025-03-19 20:04:15;RIM5;121250
2025-03-19 20:04:15;SiM5;88603
2025-03-19 20:04:15;CRM5;12.119
2025-03-19 20:04:15;GZM5;17899
2025-03-19 20:04:15;SRM5;34362
2025-03-19 20:05:18;RIM5;121240
2025-03-19 20:05:18;SiM5;88500
2025-03-19 20:05:18;CRM5;12.113
2025-03-19 20:05:18;GZM5;17896
2025-03-19 20:05:18;SRM5;34342
2025-03-19 20:06:20;RIM5;121230
2025-03-19 20:06:20;SiM5;88508
2025-03-19 20:06:20;CRM5;12.114
2025-03-19 20:06:20;GZM5;17872
2025-03-19 20:06:20;SRM5;34330
2025-03-19 20:07:23;RIM5;121150
2025-03-19 20:07:23;SiM5;88623
2025-03-19 20:07:23;CRM5;12.12
2025-03-19 20:07:23;GZM5;17868
2025-03-19 20:07:23;SRM5;34323
2025-03-19 20:08:25;RIM5;121140
2025-03-19 20:08:25;SiM5;88633
2025-03-19 20:08:25;CRM5;12.125
2025-03-19 20:08:25;GZM5;17868
2025-03-19 20:08:25;SRM5;34327
2025-03-19 20:09:29;RIM5;121140
2025-03-19 20:09:29;SiM5;88590
2025-03-19 20:09:29;CRM5;12.114
2025-03-19 20:09:29;GZM5;17868
2025-03-19 20:09:29;SRM5;34316
2025-03-19 20:10:32;RIM5;121180
2025-03-19 20:10:32;SiM5;88536
2025-03-19 20:10:32;CRM5;12.113
2025-03-19 20:10:32;GZM5;17869
2025-03-19 20:10:32;SRM5;34320
2025-03-19 20:11:35;RIM5;121240
2025-03-19 20:11:35;SiM5;88530
2025-03-19 20:11:35;CRM5;12.112
